Month,#Tourists
1992-01,17451
1992-02,27489
1992-03,31505
1992-04,30682
1992-05,29089
1992-06,22469
1992-07,20942
1992-08,27338
1992-09,24839
1992-10,42647
1992-11,32341
1992-12,27561
1993-01,19238
1993-02,23931
1993-03,30818
1993-04,20121
1993-05,20585
1993-06,19602
1993-07,13588
1993-08,21583
1993-09,23939
1993-10,42242
1993-11,30378
1993-12,27542
1994-01,21735
1994-02,24872
1994-03,31586
1994-04,27292
1994-05,26232
1994-06,22907
1994-07,19739
1994-08,27610
1994-09,27959
1994-10,39393
1994-11,28008
1994-12,29198
1995-01,22207
1995-02,28240
1995-03,34219
1995-04,33994
1995-05,27843
1995-06,25650
1995-07,23980
1995-08,27686
1995-09,30569
1995-10,46845
1995-11,35782
1995-12,26380
1996-01,27886
1996-02,29676
1996-03,39336
1996-04,36331
1996-05,29728
1996-06,26749
1996-07,22684
1996-08,29080
1996-09,32181
1996-10,47314
1996-11,37650
1996-12,34998
1997-01,25585
1997-02,32861
1997-03,43177
1997-04,35229
1997-05,33456
1997-06,26367
1997-07,26091
1997-08,35549
1997-09,31981
1997-10,56272
1997-11,40173
1997-12,35116
1998-01,28822
1998-02,37956
1998-03,41338
1998-04,41087
1998-05,35814
1998-06,29181
1998-07,27895
1998-08,36174
1998-09,39664
1998-10,62487
1998-11,47403
1998-12,35863
1999-01,29752
1999-02,38134
1999-03,46218
1999-04,40774
1999-05,42712
1999-06,31049
1999-07,27193
1999-08,38449
1999-09,44117
1999-10,66543
1999-11,48865
1999-12,37698
2000-01,25307
2000-02,38959
2000-03,44944
2000-04,43635
2000-05,28363
2000-06,26933
2000-07,24480
2000-08,34670
2000-09,43523
2000-10,59195
2000-11,52993
2000-12,40644
2001-01,30454
2001-02,38680
2001-03,46709
2001-04,39083
2001-05,28345
2001-06,13030
2001-07,18329
2001-08,25322
2001-09,31170
2001-10,41245
2001-11,30282
2001-12,18588
2002-01,17176
2002-02,20668
2002-03,28815
2002-04,21253
2002-05,19887
2002-06,17218
2002-07,16621
2002-08,21093
2002-09,23752
2002-10,35272
2002-11,28723
2002-12,24990
2003-01,21215
2003-02,24349
2003-03,27737
2003-04,25851
2003-05,22704
2003-06,20351
2003-07,22661
2003-08,27568
2003-09,28724
2003-10,45459
2003-11,38398
2003-12,33115
2004-01,30988
2004-02,35631
2004-03,44290
2004-04,33514
2004-05,26802
2004-06,19793
2004-07,24860
2004-08,33162
2004-09,25496
2004-10,43373
2004-11,36381
2004-12,31007
2005-01,25477
2005-02,20338
2005-03,29875
2005-04,23414
2005-05,25541
2005-06,22608
2005-07,23996
2005-08,36910
2005-09,36066
2005-10,51498
2005-11,41505
2005-12,38170
2006-01,28769
2006-02,25728
2006-03,36873
2006-04,21983
2006-05,22870
2006-06,26210
2006-07,25183
2006-08,33150
2006-09,33362
2006-10,49670
2006-11,44119
2006-12,36009
2007-01,33192
2007-02,39934
2007-03,54722
2007-04,40942
2007-05,35854
2007-06,31316
2007-07,35437
2007-08,44683
2007-09,45552
2007-10,70644
2007-11,52273
2007-12,42156
2008-01,36913
2008-02,46675
2008-03,58735
2008-04,38475
2008-05,30410
2008-06,24349
2008-07,25427
2008-08,40011
2008-09,41622
2008-10,66421
2008-11,52399
2008-12,38840
2009-01,29278
2009-02,40617
2009-03,49567
2009-04,43337
2009-05,30037
2009-06,31749
2009-07,30432
2009-08,44174
2009-09,42771
2009-10,72522
2009-11,54423
2009-12,41049
2010-01,33645
2010-02,49264
2010-03,63058
2010-04,45509
2010-05,32542
2010-06,33263
2010-07,38991
2010-08,54672
2010-09,54848
2010-10,79130
2010-11,67537
2010-12,50408
2011-01,42622
2011-02,56339
2011-03,67565
2011-04,59751
2011-05,46202
2011-06,46115
2011-07,42661
2011-08,71398
2011-09,63033
2011-10,96996
2011-11,83460
2011-12,60073
2012-01,52501
2012-02,66459
2012-03,89151
2012-04,69796
2012-05,50317
2012-06,53630
2012-07,49995
2012-08,71964
2012-09,66383
2012-10,86379
2012-11,83173
2012-12,63344
2013-01,47846
2013-02,67264
2013-03,88697
2013-04,65152
2013-05,52834
2013-06,54599
2013-07,54011
2013-08,68478
2013-09,66755
2013-10,99426
2013-11,75485
2013-12,57069
2014-01,70196
2014-02,69009
2014-03,79914
2014-04,80053
2014-05,62558
2014-06,50731
2014-07,46546
2014-08,59761
2014-09,52894
2014-10,80993
2014-11,76305
2014-12,61158
2015-01,38616
2015-02,58523
2015-03,79187
2015-04,65729
2015-05,17569
2015-06,18368
2015-07,22967
2015-08,38606
2015-09,39050
2015-10,56584
2015-11,58304
2015-12,45467
2016-01,42235
2016-02,60821
2016-03,76444
2016-04,60214
2016-05,46683
2016-06,38852
2016-07,48115
2016-08,66341
2016-09,74670
2016-10,89281
2016-11,72990
2016-12,76356
2017-01,62632
2017-02,84061
2017-03,106291
2017-04,88591
2017-05,62773
2017-06,55956
2017-07,42240
2017-08,73778
2017-09,68634
2017-10,112492
2017-11,99804
2017-12,82966
