Tourist Places,Year ,No.of other tourist attraction spots(within 25km radius),No. of available major tourist activities  nearby,Main purpose of visit,Accessibility status,Accomodation status,health services status,tourist arrivals,Total tourist arrivals that year,SCORE
Koshi Tappu wildlife reserve,2008,2,4,holiday/Pleasure,Better,Fair,Good,238,500277,0.047573644
Dhorpatan Hunting Reserve,2008,2,4,holiday/Pleasure,Fair,Fair,Poor,55,500277,0.010993909
Shukla Phata Wildlife Reserve,2008,2,4,holiday/Pleasure,Good,Good,Poor,59,500277,0.011793466
Chitwan National Park,2008,5,5,holiday/Pleasure,Better,Better,Good,82723,500277,16.53543937
Bardiya National Park,2008,3,5,holiday/Pleasure,Better,Better,Good,2790,500277,0.557691039
Langtang National Park,2008,4,3,holiday/Pleasure,Good,Better,Fair,9533,500277,1.905544328
Sagarmatha National Park,2008,8,3,Treeking&Mountaineering,Fair,Good,Fair,31201,500277,6.236744843
Shivapuri National Park,2008,6,3,Treeking,Better,Better,Better,8344,500277,1.667875997
Makalu Barun National Park,2008,6,3,Treeking&Mountaineering,Fair,Better,Fair,1371,500277,0.274048177
Rara National Park,2008,2,3,holiday/Pleasure,Fair,Good,Poor,104,500277,0.020788483
Shey Phoksundo National park,2008,4,3,holiday/Pleasure,Poor,Fair,Poor,678,500277,0.135524919
Khaptad National Park,2008,4,3,holiday/Pleasure,Fair,Fair,Good,29,500277,0.005796789
Koshi Tappu wildlife reserve,2009,2,4,holiday/Pleasure,Better,Fair,Better,231,509956,0.045298026
Parsa Wildlife Reserve,2009,2,3,holiday/Pleasure,Better,Fair,Fair,49,509956,0.009608672
Dhorpatan Hunting Reserve,2009,2,4,holiday/Pleasure,Better,Fair,Poor,21,509956,0.004118002
Shukla Phata Wildlife Reserve,2009,2,4,holiday/Pleasure,Better,Good,Poor,161,509956,0.031571351
Chitwan National Park,2009,5,5,holiday/Pleasure,Better,Better,Good,78682,509956,15.42917428
Bardiya National Park,2009,3,5,holiday/Pleasure,Better,Fair,Good,3087,509956,0.605346344
Langtang National Park,2009,4,3,holiday/Pleasure,Good,Better,Fair,10535,509956,2.065864506
Sagarmatha National Park,2009,8,3,Treeking&Mountaineering,Good,Good,Fair,29036,509956,5.693824565
Shivapuri National Park,2009,6,4,Treeking,Better,Better,Better,11178,509956,2.191953816
Makalu Barun National Park,2009,6,3,Treeking&Mountaineering,Good,Better,Good,1828,509956,0.358462299
Rara National Park,2009,2,3,holiday/Pleasure,Good,Fair,Poor,146,509956,0.028629921
Shey Phoksundo National park,2009,4,3,holiday/Pleasure,Poor,Fair,Poor,325,509956,0.063730989
Khaptad National Park,2009,4,3,holiday/Pleasure,Good,Fair,Good,2,509956,0.000392191
Koshi Tappu wildlife reserve,2010,2,4,holiday/Pleasure,Better,Fair,Better,456,602867,0.075638574
Dhorpatan Hunting Reserve,2010,2,4,holiday/Pleasure,Better,Fair,Poor,26,602867,0.004312726
Shukla Phata Wildlife Reserve,2010,2,4,holiday/Pleasure,Better,Good,Poor,115,602867,0.019075517
Chitwan National Park,2010,5,5,holiday/Pleasure,Better,Better,Good,84518,602867,14.01934423
Bardiya National Park,2010,3,5,holiday/Pleasure,Better,Better,Good,3727,602867,0.618212641
Langtang National Park,2010,4,3,holiday/Pleasure,Good,Better,Fair,10315,602867,1.710990981
Sagarmatha National Park,2010,8,3,Treeking&Mountaineering,Good,Good,Fair,32084,602867,5.321903504
Shivapuri National Park,2010,6,4,Treeking,Better,Better,Better,11798,602867,1.95698222
Makalu Barun National Park,2010,6,3,Treeking&Mountaineering,Good,Better,Good,1323,602867,0.219451388
Rara National Park,2010,2,3,holiday/Pleasure,Good,Good,Poor,135,602867,0.022392999
Shey Phoksundo National park,2010,4,3,holiday/Pleasure,Poor,Fair,Poor,558,602867,0.092557728
Khaptad National Park,2010,4,3,holiday/Pleasure,Good,Fair,Good,12,602867,0.001990489
Pashupatinath (excluding Indian),2011,14,4,pilgrimage ,Better,Better,Better,143887,586711,24.52433992
lumbini  (excluding Indian),2011,13,4,pilgrimage ,Good,Better,Good,128259,586711,21.86067757
Mustang,2011,5,3,Treeking,Good,Fair,Good,2950,736215,0.400698166
Lower Dolpa,2011,5,3,Treeking,Poor,Fair,Poor,808,736215,0.109750548
Upper Dolpa,2011,4,3,Treeking,Poor,Poor,Poor,397,736215,0.053924465
Kanchanjunga,2011,4,3,Treeking&Mountaineering,Poor,Fair,Poor,591,736215,0.080275463
Manaslu,2011,5,3,Treeking&Mountaineering,Poor,Fair,Poor,2813,736215,0.382089471
Koshi Tappu wildlife reserve,2011,2,4,holiday/Pleasure,Better,Fair,Better,181,736215,0.024585209
Parsa Wildlife Reserve,2011,2,3,holiday/Pleasure,Better,Better,Fair,14,736215,0.001901618
Dhorpatan Hunting Reserve,2011,2,4,holiday/Pleasure,Better,Fair,Poor,28,736215,0.003803237
Shukla Phata Wildlife Reserve,2011,2,4,holiday/Pleasure,Better,Good,Poor,190,736215,0.025807678
Chitwan National Park,2011,5,5,holiday/Pleasure,Better,Better,Good,122332,736215,16.61634169
Bardiya National Park,2011,3,5,holiday/Pleasure,Better,Better,Good,4765,736215,0.64722941
Langtang National Park,2011,4,3,holiday/Pleasure,Good,Better,Fair,13838,736215,1.879613971
Sagarmatha National Park,2011,8,3,Treeking&Mountaineering,Good,Good,Fair,34645,736215,4.705826423
Shivapuri National Park,2011,6,4,Treeking,Better,Better,Better,15921,736215,2.162547625
Makalu Barun National Park,2011,6,3,Treeking&Mountaineering,Good,Better,Good,1501,736215,0.20388066
Rara National Park,2011,2,3,holiday/Pleasure,Good,Good,Poor,174,736215,0.0236344
Shey Phoksundo National park,2011,4,3,holiday/Pleasure,Poor,Fair,Poor,512,736215,0.069544902
Khaptad National Park,2011,4,3,holiday/Pleasure,Good,Good,Good,22,736215,0.002988258
Pashupatinath (excluding Indian),2012,13,4,pilgrimage ,Better,Better,Better,139885,637277,21.95042344
lumbini  (excluding Indian),2012,14,4,pilgrimage ,Good,Better,Good,136067,637277,21.35131191
Mustang,2012,5,3,Treeking,Good,Fair,Good,2965,803092,0.36919805
Lower Dolpa,2012,4,3,Treeking,Poor,Fair,Poor,982,803092,0.122277398
Upper Dolpa,2012,4,3,Treeking,Poor,Poor,Poor,536,803092,0.066742042
Kanchanjunga,2012,4,3,Treeking&Mountaineering,Poor,Fair,Poor,635,803092,0.079069397
Manaslu,2012,5,3,Treeking&Mountaineering,Poor,Fair,Poor,3319,803092,0.413277682
Koshi Tappu wildlife reserve,2012,2,3,holiday/Pleasure,Better,Fair,Better,441,803092,0.054912762
Parsa Wildlife Reserve,2012,2,4,holiday/Pleasure,Better,Better,Fair,48,803092,0.005976899
Dhorpatan Hunting Reserve,2012,2,4,holiday/Pleasure,Better,Fair,Poor,47,803092,0.005852381
Shukla Phata Wildlife Reserve,2012,2,4,holiday/Pleasure,Better,Good,Poor,144,803092,0.017930698
Chitwan National Park,2012,5,5,holiday/Pleasure,Better,Better,Good,126484,803092,15.74962769
Bardiya National Park,2012,3,5,holiday/Pleasure,Better,Better,Good,5760,803092,0.717227914
Langtang National Park,2012,4,3,holiday/Pleasure,Good,Better,Fair,12649,803092,1.57503748
Sagarmatha National Park,2012,8,3,Treeking&Mountaineering,Good,Good,Fair,36518,803092,4.547175168
Shivapuri National Park,2012,6,4,Treeking,Better,Better,Better,82935,803092,10.32696129
Makalu Barun National Park,2012,6,3,Treeking&Mountaineering,Good,Better,Good,1520,803092,0.189268477
Rara National Park,2012,2,3,holiday/Pleasure,Good,Good,Poor,49,803092,0.006101418
