#tourist_arrivals by age group,,,,,,,
Year,0-15,16-30,31-45,46-60,60+,Unspecified,total
1993,"59,768","91,947","96,665","59,768","29,898",0,"293,567"
1994,"20,097","96,016","106,260","66,174","37,984",0,"326,531"
1995,"22,878","106,603","120,212","76,647","37,055",0,"363,395"
1996,"22,185","94,924","116,307","89,751","70,446",0,"393,613"
1997,"23,840","121,286","126,828","107,111","42,792",0,"421,857"
1998,"26,763","122,103","151,846","121,190","41,782",0,"463,684"
1999,"30,967","150,307","155,985","113,314","40,913",0,"491,504"
2000,"19,136","119,816","148,063","125,140","51,491",0,"463,646"
2001,14608,95801,115678,93621,41529,0,"361,237"
2002,12425,67774,99622,67017,28630,0,"275,468"
2003,16056,"78,357","99,740","85,753","58,226",0,"338,132"
2004,"38,734",84125,"128,267","96,920","37,251",0,385297
2005,"30,429","57,115","114,103","106,077","67,674",0,"375,398"
2006,"37,433","75,626","123,541","95,260","52,066",0,"383,926"
2007,"38,870","112,879","164,488","130,756","69,927","9,785","526,705"
2008,"42,581","106,596","150,171","121,387","60,531","19,011","500,277"
2009,"84,891","140,805","141,955","99,197","39,638","3,470","509,956"
2010,"41,156","120,395","189,852","172,800","64,593","14,071","602,867"
2011,"32,795","171,081","212,176","177,983","82,726","59,454","736,215"
2012,"35,468","181,558","231,117","201,835","109,239","43,875","803,092"
2013,46262,190630,237690,195416,115654,11964,"797,616"
2014,50441,185685,235738,183582,106666,28007,"790,118"
2015,19614,123444,157416,129614,74518,34365,538970
2016,29825,154960,218479,199139,130627,19972,753002
2017,35332,217143,292827,244342,141316,9258,940218
