year,purposes,Arrivals
1993,holiday pleasure,170289
1994,holiday pleasure,168155
1995,holiday pleasure,183207
1996,holiday pleasure,209377
1997,holiday pleasure,249360
1998,holiday pleasure,261347
1999,holiday pleasure,290862
2000,holiday pleasure,255889
2001,holiday pleasure,187022
2002,holiday pleasure,110143
2003,holiday pleasure,97904
2004,holiday pleasure,167262
2005,holiday pleasure,160259
2006,holiday pleasure,145802
2007,holiday pleasure,217815
2008,holiday pleasure,148180
2009,holiday pleasure,140992
2010,holiday pleasure,263938
2011,holiday pleasure,425721
2012,holiday pleasure,379627
2013,holiday pleasure,437891
2014,holiday pleasure,395849
2015,holiday pleasure,386065
2016,holiday pleasure,489451
1993,trekking and mountaineering,69619
1994,trekking and mountaineering,76865
1995,trekking and mountaineering,84787
1996,trekking and mountaineering,88945
1997,trekking and mountaineering,91525
1998,trekking and mountaineering,112644
1999,trekking and mountaineering,107960
2000,trekking and mountaineering,118780
2001,trekking and mountaineering,100828
2002,trekking and mountaineering,59279
2003,trekking and mountaineering,65721
2004,trekking and mountaineering,69442
2005,trekking and mountaineering,61488
2006,trekking and mountaineering,66931
2007,trekking and mountaineering,101320
2008,trekking and mountaineering,104822
2009,trekking and mountaineering,132929
2010,trekking and mountaineering,70218
2011,trekking and mountaineering,86260
2012,trekking and mountaineering,105015
2013,trekking and mountaineering,97309
2014,trekking and mountaineering,97185
2015,trekking and mountaineering,9162
2016,trekking and mountaineering,66490
1993,business,19495
1994,business,23522
1995,business,21829
1996,business,25079
1997,business,27409
1998,business,24954
1999,business,23813
2000,business,29454
2001,business,18528
2002,business,16990
2003,business,19387
2004,business,13948
2005,business,21992
2006,business,21066
2007,business,24487
2008,business,23039
2009,business,22758
2010,business,21377
2011,business,17859
2012,business,24785
2013,business,30309
2014,business,24494
2015,business,20876
2016,business,24322
1993,pilgrimage,10429
1994,pilgrimage,5475
1995,pilgrimage,5257
1996,pilgrimage,4802
1997,pilgrimage,4068
1998,pilgrimage,16164
1999,pilgrimage,19198
2000,pilgrimage,15801
2001,pilgrimage,13816
2002,pilgrimage,12366
2003,pilgrimage,21395
2004,pilgrimage,45664
2005,pilgrimage,47621
2006,pilgrimage,59298
2007,pilgrimage,52594
2008,pilgrimage,45091
2009,pilgrimage,51542
2010,pilgrimage,101335
2011,pilgrimage,63783
2012,pilgrimage,109854
2013,pilgrimage,40678
2014,pilgrimage,98765
2015,pilgrimage,14996
2016,pilgrimage,82830
1993,official,15812
1994,official,20431
1995,official,20090
1996,official,20191
1997,official,24106
1998,official,22123
1999,official,24132
2000,official,20832
2001,official,18727
2002,official,17783
2003,official,21967
2004,official,17088
2005,official,16859
2006,official,18063
2007,official,21670
2008,official,43044
2009,official,24518
2010,official,26374
2011,official,24054
2012,official,30460
2013,official,39881
2014,official,32395
2015,official,21479
2016,official,21310
1993,convetion/conference,5367
1994,convetion/conference,5361
1995,convetion/conference,5272
1996,convetion/conference,6054
1997,convetion/conference,5824
1998,convetion/conference,5181
1999,convetion/conference,5965
2000,convetion/conference,5599
2001,convetion/conference,0
2002,convetion/conference,0
2003,convetion/conference,0
2004,convetion/conference,0
2005,convetion/conference,0
2006,convetion/conference,0
2007,convetion/conference,8019
2008,convetion/conference,6938
2009,convetion/conference,9985
2010,convetion/conference,9627
2011,convetion/conference,10836
2012,convetion/conference,13646
2013,convetion/conference,15952
2014,convetion/conference,13432
2015,convetion/conference,9038
2016,convetion/conference,12801
1993,others,2566
1994,others,26722
1995,others,42953
1996,others,39165
1997,others,19565
1998,others,21271
1999,others,19574
2000,others,17291
2001,others,22316
2002,others,58907
2003,others,111758
2004,others,71893
2005,others,67179
2006,others,72766
2007,others,78644
2008,others,99364
2009,others,87134
2010,others,52347
2011,others,37311
2012,others,48540
2013,others,62214
2014,others,53728
2015,others,77354
2016,others,55797
1993,not specified,
1994,not specified,
1995,not specified,
1996,not specified,
1997,not specified,
1998,not specified,
1999,not specified,
2000,not specified,
2001,not specified,
2002,not specified,
2003,not specified,
2004,not specified,
2005,not specified,
2006,not specified,
2007,not specified,22156
2008,not specified,29529
2009,not specified,40098
2010,not specified,57651
2011,not specified,70391
2012,not specified,91165
2013,not specified,73381
2014,not specified,74271
2015,not specified,
2016,not specified,
